[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /Users/shannonellis/Desktop/Teaching/COGS108/Projects
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8888/?token=92295e0bb6605c9b3601acedb915b3574d567d902d506356
[NotebookApp | INFO]  or http://127.0.0.1:8888/?token=92295e0bb6605c9b3601acedb915b3574d567d902d506356
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    To access the notebook, open this file in a browser:
        file:///Users/shannonellis/Library/Jupyter/runtime/nbserver-12932-open.html
    Or copy and paste one of these URLs:
        http://localhost:8888/?token=92295e0bb6605c9b3601acedb915b3574d567d902d506356
     or http://127.0.0.1:8888/?token=92295e0bb6605c9b3601acedb915b3574d567d902d506356
[NotebookApp | INFO] Creating new notebook in 
[NotebookApp | INFO] Kernel started: 63420583-ac0f-4220-bae1-3480aee31d30
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 63420583-ac0f-4220-bae1-3480aee31d30) to 5.3 (client).
[NotebookApp | WARNING] Notebook FinalProject.ipynb is not trusted
[NotebookApp | INFO] Kernel started: 3610c2d2-c885-4f6e-8837-c9ee868e9e08
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 3610c2d2-c885-4f6e-8837-c9ee868e9e08) to 5.3 (client).
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /FinalProject.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Saving file at /FinalProject.ipynb
[NotebookApp | INFO] Saving file at /FinalProject.ipynb
[NotebookApp | INFO] Saving file at /FinalProject.ipynb
[NotebookApp | INFO] Saving file at /FinalProject.ipynb
[NotebookApp | INFO] Saving file at /FinalProject.ipynb
[NotebookApp | INFO] Creating new notebook in 
[NotebookApp | INFO] Kernel started: 0a039672-012a-4054-ba2f-b3f19cb6b8d9
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 0a039672-012a-4054-ba2f-b3f19cb6b8d9) to 5.3 (client).
[NotebookApp | INFO] Saving file at /ProjectCheckIn.ipynb
[NotebookApp | INFO] Saving file at /ProjectCheckIn.ipynb
[NotebookApp | INFO] Saving file at /FinalProject_group000.ipynb
[NotebookApp | INFO] Saving file at /ProjectCheckIn.ipynb
[NotebookApp | INFO] Saving file at /ProjectProposal.ipynb
[NotebookApp | INFO] Starting buffering for 63420583-ac0f-4220-bae1-3480aee31d30:c70aa202ead24f4aba4b86ae74a948c3
[NotebookApp | INFO] Kernel shutdown: 63420583-ac0f-4220-bae1-3480aee31d30
[NotebookApp | INFO] Starting buffering for 0a039672-012a-4054-ba2f-b3f19cb6b8d9:94f700fa12ac480c8139c17f12f188ea
[NotebookApp | INFO] Kernel shutdown: 0a039672-012a-4054-ba2f-b3f19cb6b8d9
[NotebookApp | INFO] Starting buffering for 3610c2d2-c885-4f6e-8837-c9ee868e9e08:f2371fd0f14243bb880282ffcc4d50b5
[NotebookApp | INFO] Kernel shutdown: 3610c2d2-c885-4f6e-8837-c9ee868e9e08
[NotebookApp | INFO] interrupted
[NotebookApp | CRITICAL] Shutdown confirmed
[NotebookApp | INFO] Shutting down 0 kernels
