X.objectid,hsisid,name,address1,address2,city,state,postalcode,phonenumber,restaurantopendate,facilitytype,x,y,geocodestatus
1001,4092017230,SPRING CAFE 2,2900-104 SPRING FOREST RD ,,RALEIGH,NC,27616-1895,(919) 977-3679,2016-05-26T00:00:00.000Z,Restaurant,-78.591634,35.855487,M
1002,4092040338,CAROLINA CLASSIC HOT DOGS #2 (WCID #549),309 HOLLOMAN ST ,,APEX,NC,27502,,2016-07-01T00:00:00.000Z,Pushcarts,-78.855348,35.730219,M
1003,4092014444,Taco Bell #22798,2207 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-4924,2005-12-05T00:00:00.000Z,Restaurant,-78.536145,35.946695,M
1004,4092015333,THE REMEDY DINER,137 E HARGETT ST ,,RALEIGH,NC,27601,(919) 835-3553,2009-02-04T00:00:00.000Z,Restaurant,-78.636895,35.777999,M
1005,4092160069,ZEBULON HOUSE (KITCHEN),551 PONY RD ,,ZEBULON,NC,27597,,2009-02-18T00:00:00.000Z,Institutional Food Service,-78.332138,35.816779,M
1006,4092110477,CHARLES BUGG CAFETERIA,825 COOPER ST ,,RALEIGH,NC,27610,(919) 250-4756,2009-02-26T00:00:00.000Z,Public School Lunchrooms,-78.586171,35.765199,M
1007,4092016679,BITTERSWEET,16 E MARTIN ST ,,RALEIGH,NC,27601,(919) 977-3829,2014-04-23T00:00:00.000Z,Restaurant,-78.640023,35.777143,M
1008,4092014493,Chick-fil-A #1573,8901 Brier Creek PKY,,RALEIGH,NC,27617,(919) 293-0100,2006-01-31T00:00:00.000Z,Restaurant,-78.7905,35.901065,M
1009,4092015519,GOLDEN CHINA CHINESE RESTAURANT,2432 SW CARY PKY ,,CARY,NC,27513,(919) 380-7891,2009-11-24T00:00:00.000Z,Restaurant,-78.820859,35.76364,M
1010,4092010037,Aubrey & Peedi`s Grill,38 N Main St ,PO BOX 302,WENDELL,NC,27591,(919) 365-5528,1991-04-25T00:00:00.000Z,Restaurant,-78.369452,35.782462,M
1011,4092021617,KROGER #354 PRODUCE ,8345 CREEDMOOR RD ,,RALEIGH,NC,27612,(919) 848-2232,2010-06-30T00:00:00.000Z,Food Stand,-78.682232,35.901053,M
1012,4092011828,Taco Bell,1384 N MAIN ST ,,FUQUAY VARINA,NC,27526-2617,(919) 557-5557,1996-01-02T00:00:00.000Z,Restaurant,-78.774209,35.59206,M
1013,4092020989,Food Lion #1573 Deli,3926 WESTERN Blv ,,RALEIGH,NC,27606-1937,(919) 664-8059,2000-07-01T00:00:00.000Z,Food Stand,-78.692524,35.785761,M
1014,4092300179,Food Lion #624 Meat Market ,2458 SW CARY PKY ,,CARY,NC,27513-5318,(919) 481-1822,2000-07-01T00:00:00.000Z,Meat Market,-78.820859,35.76364,M
1015,4092021542,WALMART #1372 DELI,4500 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 772-8751,2008-07-14T00:00:00.000Z,Food Stand,-78.658582,35.718941,M
1016,4092010574,Pizza Hut,151 WAKELON ST ,,ZEBULON,NC,27597-2404,(919) 269-6455,1991-05-02T00:00:00.000Z,Restaurant,-78.315729,35.833471,M
1017,4092014293,Five Guys Burgers and Fries #2,4120 Main at N. Hills St. Ste 155,,RALEIGH,NC,27609,(919) 787-7772,2005-04-07T00:00:00.000Z,Restaurant,-78.643231,35.837186,M
1018,4092014336,Bonefish Grill,4421 Six Forks RD ,,RALEIGH,NC,27609,(919) 782-5127,2005-06-24T00:00:00.000Z,Restaurant,-78.643499,35.840174,M
1019,4092021337,Harris Teeter #104 Produce,4093 Davis DR ,,MORRISVILLE,NC,27520,(919) 380-0354,2005-08-05T00:00:00.000Z,Food Stand,-78.858116,35.835626,M
