id,name,is_closed,rating,review_count,address1,zip_code,latitude,longitude,price,phone,hotdogs,sandwiches,pizza,tradamerican,burgers,mexican,grocery,breakfast_brunch,coffee,chinese,italian,newamerican,chicken_wings,delis,bars,salad,seafood,bbq,bakeries,sushi
42nd-street-oyster-bar-rdu-airport-morrisville,42nd street oyster bar - rdu airport,FALSE,2.5,23,2400 John Brantley Blvd,27560,35.8738084,-78.7908957,$$,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
aldi-foods-cary,aldi foods,FALSE,4,17,2303 NW Maynard Rd,27519,35.80284,-78.7859299,$,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
luciano-pizzeria-ristorante-northwest-raleigh,luciano pizzeria ristorante,FALSE,5,2,Crabtree Valley Mall,27612,35.83968059,-78.67879111,$,12102230500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
olive-garden-italian-restaurant-wilson,olive garden italian restaurant,FALSE,3,16,3401 Raleigh Rd Pkwy W,27893,35.74317042,-77.96416043,$$,12522061399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
subway-wilson-4,subway,FALSE,3.5,3,4934 Raleigh Rd,27896,35.7629356,-77.9994278,$,12522067187,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
trent-restaurant-pollocksville,trent restaurant,FALSE,5,5,129 Main St,28573,35.00789,-77.2197,$$$,12522247141,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
bailey-cafe-bailey-2,bailey cafe,FALSE,4.5,10,12544 Hanover St,27807,35.77895,-78.1184,$,12522352767,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
bojangles-wilson-2,bojangles,FALSE,3.5,21,5033 Raleigh Rd Pkwy W,27896,35.7635651,-78.008926399999993,$,12522370026,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
el-tapatio-mexican-restaurant-wilson-2,el tapatio mexican restaurant,FALSE,3.5,15,2921 Raleigh Road Pkwy W,27896,35.7384033,-77.9560242,$$,12522370687,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
best-n-burgers-wilson,best-n-burgers,FALSE,4.5,69,4916 Hayes Pl,27893,35.76229,-78.0072,$,12522372555,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
san-jose-mexican-restaurant-wilson,san jose mexican restaurant,FALSE,3.5,22,1700 Raleigh Rd Pkwy W,27896,35.7361336,-77.9497452,$,12522377749,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
walmart-supercenter-wilson,walmart supercenter,FALSE,3.5,3,2500 Forest Hills Rd W,27893,35.73392,-77.94959,$,12522439300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mcqueens-interiors-morehead-city,mcqueen's interiors,FALSE,5,1,4426 Arendell St,28557,34.73042,-76.7773799,"NA",12522473175,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
bp-wilson,bp,FALSE,5,1,2825 US Hwy 301 S,27893,35.69238515,-77.94369968,"NA",12522919777,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sonic-drive-in-wilson,sonic drive-in,FALSE,3.5,3,2401 Forest Hills Rd W,27893,35.73278,-77.9526999,$,12522930599,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
olive-garden-italian-restaurant-rocky-mount-2,olive garden italian restaurant,FALSE,3,12,1140 N Wesleyan Blvd,27804,35.9726906,-77.8058624,$$,12524421329,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
cracker-barrel-old-country-store-and-restaurant-rocky-mt,cracker barrel old country store & restaurant,FALSE,3,13,238 Enterprise Dr,27804,35.9749489,-77.8445206,$,12524430679,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gardners-barbecue-restaurant-rocky-mount-5,gardner's barbecue restaurant,FALSE,3,11,3651 Sunset Ave,27804,35.9637822,-77.8532155,$,12524433996,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
la-perla-tapatia-rocky-mount,la perla tapatia,FALSE,4,20,126 S Winstead Ave,27804,35.96244136,-77.84957157,$$,12524510808,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
san-jose-mexican-restaurant-roanoke-rapids,san jose mexican restaurant,FALSE,4.5,46,309 Premier Blvd,27870,36.4250138,-77.6330658,$$,12525375711,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
seven-springs-restaurant-seven-springs-2,seven springs restaurant,FALSE,5,4,400 Main St,28578,35.2261162,-77.8463516,$,12525691521,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
la-casetta-italian-restaurant-bethel,la casetta italian restaurant,FALSE,4.5,10,7434 N Main St,27812,35.8087883,-77.3727493,$$,12528256699,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
natural-health-strategies-chapel-hill,natural health strategies,FALSE,5,3,50101 Governors Dr,27517,35.8546622,-79.0249666,"NA",13018010462,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
claudia-zamora-fayetteville-2,claudia zamora,FALSE,5,5,1705 Calista Cir,28304,35.017716,-78.9882949,"NA",13057473004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
one-vision-studios-greensboro,one vision studios,FALSE,5,1,2100 E Wendover Ave,27405,36.08689602,-79.7577246,"NA",13342184143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
la-fiesta-restaurante-mexicano-burlington,la fiesta restaurante mexicano,FALSE,4,42,1824 S Church St,27215,36.0825699,-79.46019,$$,13362270144,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
